key_id,key,operation,pX,pY,LR,state,delta,time_diff,time_since_beginning,key_id,press_to_press,release_to_press,hold_time
1,h,1.0,1679.0,432.0,0,1.0,0.0,0.109,0.23399999999999999,1,0.25,0.10899999999999999,0.23399999999999999
2,i,1.0,1679.0,432.0,0,1.0,0.0,0.125,0.359,2,0.15600000000000003,-0.125,0.125
3,s,1.0,1679.0,432.0,0,1.0,0.0,0.078,0.437,3,0.15599999999999997,-0.07800000000000001,0.07800000000000001
4,space,1.0,1679.0,432.0,0,1.0,0.0,0.016,0.609,4,0.10899999999999999,0.016000000000000014,0.172
5,i,1.0,1679.0,432.0,0,1.0,0.0,0.109,0.827,5,0.10899999999999999,0.10899999999999999,0.21799999999999997
6,s,1.0,1679.0,432.0,0,1.0,0.0,0.078,0.9049999999999999,6,0.1409999999999999,-0.031000000000000028,0.07799999999999996
7,space,1.0,1679.0,432.0,0,1.0,0.0,0.063,0.9989999999999999,7,0.1399999999999999,-0.04699999999999993,0.09399999999999997
8,a,1.0,1679.0,432.0,0,1.0,0.0,0.156,1.2949999999999997,8,0.15599999999999992,0.15599999999999992,0.2959999999999998
9,space,1.0,1679.0,432.0,0,1.0,0.0,0.016,1.4669999999999996,9,0.14000000000000012,0.016000000000000014,0.17199999999999993
10,t,1.0,1679.0,432.0,0,1.0,0.0,0.531,2.138,10,0.18699999999999983,0.5310000000000001,0.6710000000000003
11,e,1.0,1679.0,432.0,0,1.0,0.0,0.093,2.231,11,0.10899999999999999,-0.09399999999999986,0.09299999999999997
12,s,1.0,1679.0,432.0,0,1.0,0.0,0.156,2.496,12,0.14100000000000001,0.15600000000000014,0.2650000000000001
13,t,1.0,1679.0,432.0,0,1.0,0.0,0.125,2.762,13,0.12400000000000011,0.125,0.266
14,space,1.0,1679.0,432.0,0,1.0,0.0,0.109,2.871,14,0.125,-0.015000000000000124,0.10899999999999999
15,t,1.0,1679.0,432.0,0,1.0,0.0,0.062,3.058,15,0.14000000000000012,0.06199999999999983,0.18699999999999983
16,space,1.0,1679.0,432.0,0,1.0,0.0,0.016,3.214,16,0.125,0.016000000000000014,0.15600000000000014
17,backspace,1.0,1679.0,432.0,0,1.0,0.0,0.452,3.791,17,0.09399999999999986,0.45199999999999996,0.577
18,p,1.0,1679.0,432.0,0,1.0,0.0,0.156,4.0409999999999995,18,0.13999999999999968,0.1559999999999997,0.24999999999999956
19,space,1.0,1679.0,432.0,0,1.0,0.0,0.016,4.196999999999999,19,0.09299999999999997,0.016000000000000014,0.1559999999999997
20,s,1.0,1679.0,432.0,0,1.0,0.0,0.141,4.430999999999999,20,0.09299999999999997,0.14100000000000001,0.23399999999999999
21,backspace,1.0,1679.0,432.0,0,1.0,0.0,0.312,4.835999999999999,21,0.11000000000000032,0.3120000000000003,0.40500000000000025
22,backspace,1.0,1679.0,432.0,0,1.0,0.0,0.078,5.024,22,0.10899999999999999,0.07800000000000029,0.1880000000000006
23,backspace,1.0,1679.0,432.0,0,1.0,0.0,0.561,5.694,23,0.125,0.5609999999999999,0.6699999999999999
24,o,1.0,1679.0,432.0,0,1.0,0.0,0.25,6.069,24,0.125,0.25,0.375
25,space,1.0,1679.0,432.0,0,1.0,0.0,0.109,6.178,25,0.10899999999999999,-0.016000000000000014,0.10899999999999999
26,s,1.0,1679.0,432.0,0,1.0,0.0,0.063,6.35,26,0.20199999999999996,0.06299999999999972,0.1719999999999997
27,e,1.0,1679.0,432.0,0,1.0,0.0,0.14,6.489999999999999,27,0.125,-0.06200000000000028,0.13999999999999968
28,e,1.0,1679.0,432.0,0,1.0,0.0,0.125,6.739999999999999,28,0.13999999999999968,0.125,0.25
29,space,1.0,1679.0,432.0,0,1.0,0.0,0.124,6.863999999999999,29,0.11000000000000032,-0.016000000000000014,0.12399999999999967
30,o,1.0,1679.0,432.0,0,1.0,0.0,0.031,7.004999999999999,30,0.10899999999999999,0.030999999999999694,0.14100000000000001
31,f,1.0,1679.0,432.0,0,1.0,0.0,0.047,7.160999999999999,31,0.10899999999999999,0.04699999999999971,0.1559999999999997
32,space,1.0,1679.0,432.0,0,1.0,0.0,0.062,7.222999999999999,32,0.125,-0.04699999999999971,0.06200000000000028
33,t,1.0,1679.0,432.0,0,1.0,0.0,0.094,7.441999999999999,33,0.10899999999999999,0.0940000000000003,0.2190000000000003
34,h,1.0,1679.0,432.0,0,1.0,0.0,0.031,7.581999999999999,34,0.1719999999999997,0.030999999999999694,0.13999999999999968
35,e,1.0,1679.0,432.0,0,1.0,0.0,0.031,7.784999999999998,35,0.10899999999999999,0.030999999999999694,0.2029999999999994
36,space,1.0,1679.0,432.0,0,1.0,0.0,0.047,7.831999999999998,36,0.15600000000000058,-0.06200000000000028,0.04699999999999971
37,w,1.0,1679.0,432.0,0,1.0,0.0,0.14,8.127999999999998,37,0.10899999999999999,0.13999999999999968,0.29600000000000026
38,o,1.0,1679.0,432.0,0,1.0,0.0,0.094,8.330999999999998,38,0.10899999999999999,0.09399999999999942,0.2029999999999994
39,r,1.0,1679.0,432.0,0,1.0,0.0,0.218,8.657999999999998,39,0.0779999999999994,0.21799999999999997,0.32699999999999996
40,d,1.0,1679.0,432.0,0,1.0,0.0,0.219,8.954999999999997,40,0.09299999999999997,0.21899999999999942,0.2969999999999988
41,s,1.0,1679.0,432.0,0,1.0,0.0,0.188,9.235999999999997,41,0.15600000000000058,0.1880000000000006,0.2810000000000006
42,space,1.0,1679.0,432.0,0,1.0,0.0,0.202,9.593999999999998,42,0.10999999999999943,0.20199999999999996,0.35800000000000054
43,t,1.0,1679.0,432.0,0,1.0,0.0,0.171,9.874999999999996,43,0.10899999999999999,0.17099999999999937,0.2809999999999988
44,h,1.0,1679.0,432.0,0,1.0,0.0,0.016,9.999999999999996,44,0.15600000000000058,0.016000000000000014,0.125
45,a,1.0,1679.0,432.0,0,1.0,0.0,0.031,10.186999999999998,45,0.10899999999999999,0.031000000000000583,0.18700000000000117
46,t,1.0,1679.0,432.0,0,1.0,0.0,0.11,10.405999999999997,46,0.15600000000000058,0.10999999999999943,0.21899999999999942
47,space,1.0,1679.0,432.0,0,1.0,0.0,0.124,10.529999999999998,47,0.10999999999999943,-0.03200000000000003,0.12400000000000055
48,i,1.0,1679.0,432.0,0,1.0,0.0,0.093,10.732999999999997,48,0.15600000000000058,0.09299999999999997,0.2029999999999994
49,space,1.0,1679.0,432.0,0,1.0,0.0,0.031,10.919999999999998,49,0.0779999999999994,0.031000000000000583,0.18700000000000117
50,t,1.0,1679.0,432.0,0,1.0,0.0,0.219,11.216999999999997,50,0.125,0.21899999999999942,0.2969999999999988
51,y,1.0,1679.0,432.0,0,1.0,0.0,0.405,11.746999999999996,51,0.09399999999999942,0.40499999999999936,0.5299999999999994
52,p,1.0,1679.0,432.0,0,1.0,0.0,0.281,12.121999999999996,52,0.12400000000000055,0.2810000000000006,0.375
53,e,1.0,1679.0,432.0,0,1.0,0.0,0.032,12.277999999999997,53,0.12400000000000055,0.03200000000000003,0.15600000000000058
54,space,1.0,1679.0,432.0,0,1.0,0.0,0.047,12.448999999999998,54,0.125,0.0470000000000006,0.17100000000000115
55,a,1.0,1679.0,432.0,0,1.0,0.0,0.156,12.729999999999999,55,0.09399999999999942,0.15600000000000058,0.2810000000000006
56,r,1.0,1679.0,432.0,0,1.0,0.0,0.14,12.963999999999999,56,0.1869999999999994,0.14000000000000057,0.23399999999999999
57,e,1.0,1679.0,432.0,0,1.0,0.0,0.125,13.088999999999999,57,0.17099999999999937,-0.06199999999999939,0.125
58,space,1.0,1679.0,432.0,0,1.0,0.0,0.047,13.197999999999999,58,0.1399999999999988,-0.06199999999999939,0.10899999999999999
59,u,1.0,1679.0,432.0,0,1.0,0.0,0.156,13.493999999999998,59,0.0779999999999994,0.15600000000000058,0.2959999999999994
60,n,1.0,1679.0,432.0,0,1.0,0.0,0.188,13.759999999999998,60,0.17099999999999937,0.1880000000000006,0.266
61,i,1.0,1679.0,432.0,0,1.0,0.0,0.093,13.852999999999998,61,0.15600000000000058,-0.0779999999999994,0.09299999999999997
62,q,1.0,1679.0,432.0,0,1.0,0.0,0.063,13.993999999999998,62,0.14000000000000057,-0.015000000000000568,0.14100000000000001
63,u,1.0,1679.0,432.0,0,1.0,0.0,0.125,14.258999999999999,63,0.09299999999999997,0.125,0.26500000000000057
64,e,1.0,1679.0,432.0,0,1.0,0.0,0.11,14.461999999999998,64,0.0779999999999994,0.10999999999999943,0.2029999999999994
65,space,1.0,1679.0,432.0,0,1.0,0.0,0.14,14.679999999999998,65,0.125,0.14000000000000057,0.21799999999999997
66,t,1.0,1679.0,432.0,0,1.0,0.0,0.062,14.866999999999997,66,0.10899999999999999,0.06199999999999939,0.1869999999999994
67,o,1.0,1679.0,432.0,0,1.0,0.0,0.047,15.022999999999998,67,0.09399999999999942,0.0470000000000006,0.15600000000000058
68,space,1.0,1679.0,432.0,0,1.0,0.0,0.047,15.163999999999998,68,0.0779999999999994,0.0470000000000006,0.14100000000000001
69,m,1.0,1679.0,432.0,0,1.0,0.0,0.109,15.350999999999997,69,0.125,0.10899999999999999,0.1869999999999994
70,e,1.0,1679.0,432.0,0,1.0,0.0,0.015,15.490999999999998,70,0.10899999999999999,0.015000000000000568,0.14000000000000057
71,.,1.0,1679.0,432.0,0,1.0,0.0,0.281,15.880999999999998,71,0.10899999999999999,0.2810000000000006,0.39000000000000057
72,space,1.0,1679.0,432.0,0,1.0,0.0,0.016,16.005999999999997,72,0.125,0.015999999999998238,0.12499999999999822
73,t,1.0,1679.0,432.0,0,1.0,0.0,0.156,16.286999999999995,73,0.125,0.1559999999999988,0.2809999999999988
74,h,1.0,1679.0,432.0,0,1.0,0.0,0.015,16.426999999999996,74,0.1559999999999988,0.015000000000000568,0.14000000000000057
75,e,1.0,1679.0,432.0,0,1.0,0.0,0.063,16.645999999999994,75,0.12399999999999878,0.06299999999999883,0.21899999999999764
76,r,1.0,1679.0,432.0,0,1.0,0.0,0.093,16.738999999999994,76,0.17199999999999704,-0.030999999999998806,0.09299999999999997
77,e,1.0,1679.0,432.0,0,1.0,0.0,0.031,16.94199999999999,77,0.1559999999999988,0.030999999999998806,0.20299999999999585
78,space,1.0,1679.0,432.0,0,1.0,0.0,0.031,17.128999999999987,78,0.10900000000000176,0.030999999999998806,0.1869999999999976
79,a,1.0,1679.0,432.0,0,1.0,0.0,0.125,17.36299999999999,79,0.10900000000000176,0.125,0.23400000000000176
80,r,1.0,1679.0,432.0,0,1.0,0.0,0.125,17.59699999999999,80,0.1720000000000006,0.125,0.23400000000000176
81,e,1.0,1679.0,432.0,0,1.0,0.0,0.094,17.690999999999992,81,0.12499999999999645,-0.0779999999999994,0.0940000000000012
82,space,1.0,1679.0,432.0,0,1.0,0.0,0.031,17.79999999999999,82,0.10899999999999821,-0.015999999999998238,0.10899999999999821
83,t,1.0,1679.0,432.0,0,1.0,0.0,0.078,17.986999999999988,83,0.10900000000000176,0.0779999999999994,0.1869999999999976
